"region_sido","region_sigungu","doctor_level","treated","shock_year","n_obs","population_median","outcome_mean","pre_mean","post_mean","pre_beta","post_beta","delta_beta","pre_beta_pop_ctrl","post_beta_pop_ctrl","delta_beta_pop_ctrl","control_beta","control_beta_pop_ctrl"
"전남","나주시","일반의",TRUE,2015,18,107243,22.1666666666667,22.2857142857143,22.0909090909091,-2.03571428571436,0.381818181818155,2.41753246753251,-1.79297557004015,-0.204194858044551,1.5887807119956,NA,NA
"전남","나주시","전문의",TRUE,2015,18,107243,149.555555555556,123.857142857143,165.909090909091,7.78571428571452,2.40000000000001,-5.38571428571451,8.37131125308805,1.02563909717835,-7.3456721559097,NA,NA
"전남","담양군","total",TRUE,2012,18,47093,68.2222222222222,70.75,67.5,3.5,-0.415384615384595,-3.91538461538459,2.89254339023848,-0.562035580550492,-3.45457897078898,NA,NA
"전남","담양군","인턴",TRUE,2012,18,47093,0.0555555555555556,0,0.0714285714285714,0,0.00659340659340603,0.00659340659340603,0,0.0375875996080416,0.0375875996080416,NA,NA
"전남","담양군","일반의",TRUE,2012,18,47093,15.3888888888889,17,14.9285714285714,3.2,0.0637362637362668,-3.13626373626373,3.21943492897333,0.197819978852429,-3.0216149501209,NA,NA
"전남","담양군","전문의",TRUE,2012,18,47093,52.7777777777778,53.75,52.5,0.3,-0.485714285714282,-0.785714285714282,-0.32689153873484,-0.797443159011263,-0.470551620276423,NA,NA
"전남","목포시","total",TRUE,2015,18,236059,462.666666666667,424.285714285714,487.090909090909,13.2857142857145,4.02727272727272,-9.25844155844175,19.3292987076556,-3.7194789677441,-23.0487776753997,NA,NA
"전남","목포시","레지던트",TRUE,2015,18,236059,1.16666666666667,2.57142857142857,0.272727272727273,0.571428571428529,-0.0454545454545444,-0.616883116883074,0.830769227956096,-0.896105215324844,-1.72687444328094,NA,NA
"전남","목포시","인턴",TRUE,2015,18,236059,0.888888888888889,0.857142857142857,0.909090909090909,-0.0714285714285973,0.054545454545454,0.125974025974051,-0.0169048420114979,0.676711095098955,0.693615937110453,NA,NA
"전남","목포시","일반의",TRUE,2015,18,236059,23.7222222222222,23.1428571428571,24.0909090909091,-2.53571428571426,1.90909090909089,4.44480519480515,-3.0554530406067,-7.26208585387383,-4.20663281326713,NA,NA
