"region_sido","region_sigungu","hospital_type","treated","shock_year","n_obs","population_median","outcome_mean","pre_mean","post_mean","pre_beta","post_beta","delta_beta","pre_beta_pop_ctrl","post_beta_pop_ctrl","delta_beta_pop_ctrl","control_beta","control_beta_pop_ctrl"
"경북","영주시","종합병원",TRUE,2021,18,108809,0.388888888888889,0.153846153846154,1,0.0604395604395551,-7.86676110793072e-17,-0.0604395604395551,-0.0892469372335402,3.03150830909168e-16,0.0892469372335405,NA,NA
"경북","영천시","병원",TRUE,2011,18,101341.5,2.61111111111111,4,2.33333333333333,2.58605846530867e-29,-0.20357142857143,-0.20357142857143,-4.48285331452594e-16,-0.198886264485002,-0.198886264485001,NA,NA
"경북","영천시","의원",TRUE,2011,18,101341.5,58.1111111111111,58.6666666666667,58,3.49999999999777,-0.153571428571425,-3.65357142856919,0.536610853860895,-0.0791116926181098,-0.615722546479004,NA,NA
"경북","영천시","종합병원",TRUE,2011,18,101341.5,1,1,1,6.48824067319017e-30,1.03825729259092e-17,1.03825729259027e-17,-1.12071332863148e-16,1.6974817367722e-17,1.2904615023087e-16,NA,NA
"경북","예천군","병원",TRUE,2021,18,48623,1,1,1,9.48938698541804e-20,-3.93338055396602e-17,-3.94286994095144e-17,1.41727749889247e-19,-6.67254901696313e-17,-6.68672179195206e-17,NA,NA
"경북","예천군","의원",TRUE,2021,18,48623,17.6666666666667,16.6923076923077,20.2,0.104395604395607,-0.199999999999994,-0.304395604395601,-0.233794476154912,-0.784059849807819,-0.550265373652907,NA,NA
"경북","울진군","병원",FALSE,NA,18,51356,1.61111111111111,NA,NA,NA,NA,NA,NA,NA,NA,-0.0794633642930843,0.0237006918024692
"경북","울진군","의원",FALSE,NA,18,51356,15.4444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0.00619195046439734,-0.126938480022069
"경북","의성군","병원",TRUE,2021,18,53744,4.55555555555556,5.30769230769231,2.6,0.0549450549450554,-0.500000000000036,-0.554945054945091,-1.57747313006816,-1.28004393370591,0.29742919636225,NA,NA
"경북","의성군","의원",TRUE,2021,18,53744,18.1111111111111,18.3846153846154,17.4,-0.0549450549450547,-0.299999999999966,-0.245054945054911,1.53789587757716,-0.694109509882972,-2.23200538746013,NA,NA
"경북","청송군","병원",FALSE,NA,18,26153.5,0.777777777777778,NA,NA,NA,NA,NA,NA,NA,NA,-0.0577915376676983,0.0774458697507575
"경북","청송군","의원",FALSE,NA,18,26153.5,10.1666666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.312693498452009,0.40003225657211
