요양기관명,요양종별,시도명,시군구명,폐업일자
(재)경복의학연구장학재단삼성의원,의원,부산,서구,2008-06-18
(재)경복의학연구장학재단학장삼성병원,병원,부산,사상구,2006-10-17
(재)네오딘의학연구소우리의원,의원,인천,남동구,2004-11-05
(재)늘사랑장학재단강남의원,의원,전북,군산시,2014-04-30
(재)늘사랑장학재단늘사랑의원,의원,대전,동구,2008-12-05
(재)늘사랑장학재단늘사랑의원,의원,전북,익산시,2008-09-22
(재)늘사랑장학재단몸사랑의원,의원,전북,전주시 완산구,2014-07-30
(재)늘사랑장학재단성심한의원,한의원,대전,동구,2009-07-06
(재)늘사랑장학재단푸른의원,의원,전북,군산시,2010-09-06
(재)능인불교선양원 동양한의원,한의원,서울,강남구,2018-08-01
(재)대구광역시사회서비스원 희망마을 부속의원,의원,대구,달성군,2022-11-11
(재)대구구천주교회유지재단가톨릭의원,의원,대구,달서구,2007-05-28
(재)대성재단 대성제일요양병원,요양병원,경기,부천시,2023-11-23
(재)대한보건재단서부연합의원,의원,전북,전주시 완산구,2015-08-17
(재)대한불교관음종모라소망의원,의원,부산,사상구,2012-08-22
(재)대한불교관음종용원베스트의원,의원,경남,창원시 진해구,2020-06-05
(재)대한장학재단아름요양병원,요양병원,부산,부산진구,2012-05-02
(재)동암의학연구소더조은의원,의원,인천,서구,2018-04-09
(재)동암의학연구소부설동방한의원,한의원,서울,은평구,2002-04-18
(재)마리아수녀회 알로이시오 기념병원,병원,부산,서구,2022-01-01
(재)미래산업보건의료재단 삼정병원,병원,부산,부산진구,2018-02-20
(재)미래산업보건의료재단미래건강요양병원,요양병원,부산,부산진구,2012-03-02
(재)미래산업보건의료재단새김해효도병원,병원,경남,김해시,2010-06-01
(재)미래산업보건의료재단중앙의원,의원,부산,중구,2014-01-02
(재)미리내천주성삼성직수도회천주성삼치과의원,치과의원,대구,수성구,2012-01-01
(재)미체원한방병원,한방병원,광주,남구,2016-05-16
(재)부산산업의학연구소금정보람의원,의원,부산,금정구,2001-06-27
(재)부산산업의학연구소금정보람한의원,한의원,부산,금정구,2001-06-28
(재)부산산업의학연구소늘푸른의원,의원,부산,북구,2001-04-03
(재)부산산업의학연구소늘푸른의원,의원,경남,김해시,2001-10-12
(재)부산산업의학연구소늘푸른한의원,한의원,경남,김해시,2001-10-12
(재)부산산업의학연구소제민의원,의원,울산,중구,2001-07-13
(재)부산산업의학연구소하단의원,의원,부산,부산진구,2001-04-17
(재)새생명재단삼성연합의원,의원,울산,중구,2004-05-01
(재)새생명재단선산장수한의원,한의원,경북,구미시,2014-10-27
(재)서울의과학연구소부산의원,의원,부산,동래구,2005-05-31
(재)성모성심수도회천주성삼치과의원,치과의원,대구,수성구,2010-10-15
(재)성애의원,의원,강원,평창군,2005-06-01
(재)세계태권도국기원사랑채한의원,한의원,인천,부평구,2012-05-25
(재)세계태권도국기원소망메디칼의원,의원,인천,남동구,2013-10-08
(재)세계태권도국기원소망한의원,한의원,인천,남동구,2013-10-08
(재)세계태권도국기원정메디칼의원,의원,인천,남동구,2013-08-06
(재)신생의료연구재단푸른의원,의원,부산,부산진구,2001-06-15
(재)씨젠의료재단씨젠대구의원,의원,대구,서구,2021-10-01
(재)아주산업의학연구소대부센타치과의원,치과의원,경기,안산시 단원구,2011-06-01
(재)아주산업의학연구소서울의원,의원,서울,종로구,2016-03-08
(재)아주산업의학연구소아주치과의원,치과의원,서울,종로구,2013-11-21
(재)아주산업의학연구소중동삼성의원,의원,경기,부천시,2006-05-19
(재)예수병원유지재단고산의원,의원,전북,완주군,2006-09-01
(재)원불교 진안원광한의원,한의원,전북,진안군,2021-07-29
(재)원불교대전보화당한의원,한의원,대전,동구,2006-10-17
(재)원불교부산보화당한의원,한의원,부산,동구,2016-11-30
(재)인존장학복지재단조은한의원,한의원,전북,김제시,2007-11-19
(재)자민한방병원,한방병원,광주,북구,2019-01-15
(재)자생의료재단 자생의원,의원,서울,강남구,2018-07-20
(재)제마재단바른몸의원,의원,전북,전주시 덕진구,2015-09-01
(재)제마재단참사랑한의원,한의원,경북,포항시 북구,2013-05-15
(재)제일산업의학연구소부설제일의원,의원,경기,시흥시,2004-03-02
(재)청남의학연구장학재단복산의원,의원,부산,사상구,2012-06-05
(재)청남의학연구장학재단복산한의원,한의원,부산,사상구,2013-03-18
(재)평화복지정책연구재단군산의원,의원,전북,군산시,2011-03-27
(재)푸른솔의원,의원,광주,서구,2012-06-13
(재)한국산업보건연구소마디의원,의원,경북,영주시,2018-09-04
(재)한국산업보건환경연구소청십자메디칼의원,의원,부산,중구,2011-11-11
(재)한국산업보건환경연수소부설삼성영상의원,의원,경기,김포시,2006-06-08
(재)한국산업의학연구소 디에뜨의원,의원,서울,서초구,2019-03-04
(재)한국산업의학연구소부설세종의원,의원,경기,"안산시(안산단원구,상록구)",2002-08-01
(재)한국암연구소재강의원,의원,부산,부산진구,2018-07-05
(재)한국의학연구소광주의원,의원,광주,북구,2007-12-26
(재)한국의학연구소둔산의원,의원,대전,서구,2004-03-23
(재)한국의학연구소부산의원,의원,부산,연제구,2009-03-23
(재)한국의학연구소부설녹색의원,의원,경기,시흥시,2003-01-21
(재)한국의학연구소부설한국혜민의원,의원,광주,북구,2002-09-04
(재)한국의학연구소포항분사무소보람의원,의원,경북,포항시 북구,2003-02-06
(재)한국임상의학연구재단나눔진단방사선과의원,의원,서울,강남구,2002-09-04
(재)한마음행복나눔한의원,한의원,경북,포항시 북구,2011-07-26
(재)현송한의원,한의원,전북,김제시,2009-01-01
(재단)아이누리누리의원,의원,경남,김해시,2014-12-01
(재단법인)경복의학연구장학재단삼성의원,의원,부산,북구,2007-12-31
(조)더조은의원,의원,광주,서구,2013-11-27
(조합)뉴욕에스메디컬의원,의원,광주,서구,2014-02-18
(조합)상무인성한의원,한의원,광주,서구,2017-06-14
(조합)우리파란의원,의원,광주,서구,2016-01-15
(조합)푸른샘의원,의원,광주,서구,2014-09-02
(주)대우일렉트로닉스구미공장부속의원,의원,경북,구미시,2007-07-11
(주)로템부속의원,의원,경기,의왕시,2005-12-22
(주)실버프리부속의원,의원,충남,당진시,2019-10-02
(주)아스텍부속의원,의원,경기,이천시,2008-03-19
(주)한빛은행부속치과의원,치과의원,서울,중구,2009-08-05
(주)호텔롯데부속의원,의원,서울,중구,2004-12-08
(주)호텔롯데부속의원,의원,서울,중구,2018-07-01
(주)효성부속의원,의원,울산,남구,2005-03-29
(학)경원대학교부속길한방병원,한방병원,인천,중구,2010-11-22
(학교법인 경암학원)봉정요양병원,요양병원,전북,군산시,2024-11-30
(학교법인)DiA세인학원영생비코한의원,한의원,서울,강남구,2007-12-28
(황성의료재단)한성의원,의원,경북,경주시,2016-03-21
(휴)부산영상의학과의원,의원,부산,서구,2018-05-09
1.2.3약국,약국,서울,영등포구,2016-09-29
100년나무한의원,한의원,인천,남동구,2015-06-03
100년약전한의원,한의원,경북,포항시 남구,2025-03-10
100년한의원,한의원,서울,종로구,2015-12-01
100년한의원,한의원,서울,중구,2025-08-08
100년한의원,한의원,경기,이천시,2020-06-26
100세약국,약국,서울,광진구,2020-05-20
100세약국,약국,서울,광진구,2004-08-16
100세약국,약국,서울,송파구,2008-12-15
100세약국,약국,서울,송파구,2009-06-01
100세약국,약국,서울,광진구,2008-07-01
100세약국,약국,부산,금정구,2002-04-01
100세약국,약국,경기,광명시,2021-11-01
100세약국,약국,경기,부천시,2007-03-09
